yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
DDR1	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	780;	Homo sapiens (Human)	913
PAX8	Q06710	PAX8_HUMAN	reviewed	Paired box protein Pax-8	PAX8	7849;	Homo sapiens (Human)	450
RPS5	P46782	RS5_HUMAN	reviewed	40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]	RPS5	6193;	Homo sapiens (Human)	204
ABCF1	Q8NE71	ABCF1_HUMAN	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	ABCF1 ABC50	23;	Homo sapiens (Human)	845
SPAG7	O75391	SPAG7_HUMAN	reviewed	Sperm-associated antigen 7	SPAG7	9552;	Homo sapiens (Human)	227
RHOA	P61586	RHOA_HUMAN	reviewed	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)	RHOA ARH12 ARHA RHO12	387;	Homo sapiens (Human)	193
RNPS1	Q15287	RNPS1_HUMAN	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	10921;	Homo sapiens (Human)	305
SMNDC1	O75940	SPF30_HUMAN	reviewed	Survival of motor neuron-related-splicing factor 30 (30 kDa splicing factor SMNrp) (SMN-related protein) (Survival motor neuron domain-containing protein 1)	SMNDC1 SMNR SPF30	10285;	Homo sapiens (Human)	238
ATP6V0B	Q99437	VATO_HUMAN	reviewed	V-type proton ATPase 21 kDa proteolipid subunit c'' (V-ATPase 21 kDa proteolipid subunit c'') (Vacuolar proton pump 21 kDa proteolipid subunit c'') (hATPL)	ATP6V0B ATP6F	533;	Homo sapiens (Human)	205
RPS6	P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	6194;	Homo sapiens (Human)	249
USP22	Q9UPT9	UBP22_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22)	USP22 KIAA1063 USP3L	23326;	Homo sapiens (Human)	525
